tempo= 100
0.0 1
1.0 s
1.5 D
2.0 g
2.5 G
3.0 g
3.5 D
4.0 s
5.5 P
5.75 d
6.0 s
7.5 5
8.0 1
9.0 s
9.5 D
10.0 g
10.5 G
11.0 g
11.5 D
12.0 G
14.0 G1
14.333333333333334 g
14.666666666666666 D
15.0 G8
15.333333333333334 g
15.666666666666666 D
16.0 81
17.0 s
17.5 D
18.0 g
18.5 G81
19.0 g
19.5 D
20.0 s81
21.5 P
21.75 d
22.0 s
22.5 t8
23.25 ^E
23.5 w5
24.0 81
25.0 s
25.5 D
26.0 g
26.5 G@(
27.0 g
27.5 D
28.0 QG$
29.0 Q$
29.75 Q$
30.0 G
30.25 Q$
30.333333333333332 g
30.5 Q$
30.666666666666668 D
31.0 QG$
31.333333333333332 g
31.5 Q$
31.666666666666668 D
32.0 81
33.0 t
33.5 Y
34.0 i
34.5 I
35.0 i
35.5 Y
36.0 t
37.5 E
37.75 y
38.0 t
38.5 5
40.0 81
41.0 t
41.5 Y
42.0 i
42.5 I@(
43.0 i
43.5 Y
44.0 QI$
45.0 Q$
45.75 Q$
46.0 I
46.25 Q$
46.333333333333336 i
46.5 Q$
46.666666666666664 Y
47.0 QI$
47.333333333333336 i
47.5 Q$
47.666666666666664 Y
48.0 81
49.0 s
49.5 D
50.0 g
50.5 G81
51.0 g
51.5 D
52.0 s81
53.5 P
53.75 d
54.0 s
54.5 t8
55.25 ^E
55.5 w5
56.0 81
57.0 s
57.5 D
58.0 g
58.5 G@(
59.0 g
59.5 D
60.0 QG$
61.0 Q$
61.75 Q$
62.0 G
62.25 Q$
62.333333333333336 g
62.5 Q$
62.666666666666664 D
63.0 QG$
63.333333333333336 g
63.5 Q$
63.666666666666664 D
64.0 81
65.0 t
65.5 Y
66.0 i
66.5 I
67.0 i
67.5 Y
68.0 t
69.5 E
69.75 y
70.0 t
70.5 5
72.0 81
73.0 t
73.5 Y
74.0 i
74.5 I@(
75.0 i
75.5 Y
76.0 QI$
78.5 @(
79.0 Q$
80.0 81
81.0 s
81.5 D
82.0 g
82.5 G81
83.0 g
83.5 D
84.0 s81
85.5 P
85.75 d
86.0 s
86.5 t8
87.25 ^E
87.5 w5
88.0 81
89.0 s
89.5 D
90.0 g
90.5 G@(
91.0 g
91.5 D
92.0 QG$
93.0 Q$
93.75 Q$
94.0 G
94.25 Q$
94.33333333333333 g
94.5 Q$
94.66666666666667 D
95.0 QG$
95.33333333333333 g
95.5 Q$
95.66666666666667 D
96.0 s
97.0 81
