tempo= 123
193.25 D
193.26041666666666 Y
193.88541666666666 D
193.94010416666666 Y
194.56770833333334 D
194.61979166666666 Y
195.18489583333334 Z
195.20833333333334 Z
195.81510416666666 Z
195.8359375 Z
196.44010416666666 Z
196.453125 Z
197.09114583333334 D
197.12239583333334 Y
197.78385416666666 Y
197.80208333333334 D
198.49479166666666 D
198.52083333333334 Y
199.12760416666666 Z
199.16927083333334 Z
199.73958333333334 Z
199.77083333333334 Z
200.34895833333334 Z
200.38541666666666 Z
200.95052083333334 D
200.98697916666666 Y
201.57552083333334 Z
201.60677083333334 Z
202.23697916666666 Z
202.27083333333334 Z
202.99739583333334 Y
203.0078125 D
203.7421875 Z
203.78385416666666 Z
204.75520833333334 Z
204.77083333333334 Z
208.12239583333334 D
208.38020833333334 Z
208.6953125 Z
208.94791666666666 Z
209.30729166666666 Z
209.54427083333334 Z
209.88802083333334 L
210.1328125 Z
210.15104166666666 W
210.22395833333334 Y
210.45833333333334 k
210.49739583333334 a
210.73177083333334 Z
211.03645833333334 k
211.32291666666666 Z
211.625 J
211.86458333333334 Z
211.8671875 r
211.94270833333334 O
212.19010416666666 H
212.25 D
212.46875 Z
212.77864583333334 h
213.05208333333334 Z
213.34375 H
213.63020833333334 Y
213.6328125 Z
213.65364583333334 P
213.94270833333334 J
213.97395833333334 h
214.22395833333334 Z
214.56770833333334 D
214.79947916666666 Z
215.19270833333334 D
215.40364583333334 Z
215.72135416666666 P
215.73177083333334 o
215.75 f
215.99479166666666 Z
216.3125 D
216.55729166666666 Z
216.84375 S
217.09635416666666 Z
217.40364583333334 a
217.40625 O
217.6640625 Z
217.96875 a
218.19010416666666 Z
218.48958333333334 P
218.71875 Z
219.04427083333334 O
219.05208333333334 i
219.078125 y
219.0859375 r
219.31510416666666 Z
219.59635416666666 o
219.85416666666666 Z
220.12239583333334 O
220.37239583333334 Z
220.69010416666666 P
220.72916666666666 oY
220.98697916666666 Z
221.34635416666666 Y
221.61197916666666 D
221.94791666666666 D
222.265625 Z
222.8828125 Z
223.21354166666666 Z
223.63541666666666 Z
223.90104166666666 Z
224.18489583333334 L
224.45572916666666 Z
224.49479166666666 W
224.5625 Y
224.75 k
224.79427083333334 a
225.03645833333334 Z
225.31770833333334 k
225.56770833333334 Z
225.84375 J
226.0859375 Z
226.1328125 r
226.16666666666666 O
226.3828125 H
226.42447916666666 D
226.66927083333334 Z
226.96875 h
227.20572916666666 Z
227.4921875 H
227.74739583333334 Y
