tempo= 120
2.96875 f
3.5208333333333335 s
4.03125 f
4.604166666666667 s
5.114583333333333 f
5.635416666666667 s
6.166666666666667 f
6.6875 s
7.229166666666667 f
7.71875 s
8.260416666666666 f
8.760416666666666 s
9.270833333333334 f
9.791666666666666 s
10.3125 f
10.802083333333334 s
11.354166666666666 f
11.854166666666666 s
12.375 f
12.875 s
13.40625 f
13.947916666666666 s
14.447916666666666 f
14.958333333333334 s
15.489583333333334 p
15.5 f
15.989583333333334 s
16.510416666666668 f
17.03125 s
17.520833333333332 f
18.010416666666668 s
18.541666666666668 f
19.03125 s
19.552083333333332 f
20.072916666666668 s
20.583333333333332 f
21.09375 s
21.635416666666668 u
21.645833333333332 h
22.166666666666668 d
22.6875 h
23.25 d
23.75 h
24.28125 d
24.78125 h
25.28125 d
25.78125 h
26.302083333333332 d
26.833333333333332 h
27.333333333333332 d
27.84375 if
28.354166666666668 s
28.895833333333332 f
29.4375 s
29.927083333333332 f
30.4375 s
30.927083333333332 f
31.4375 s
31.979166666666668 f
32.489583333333336 s
33.0 f
33.520833333333336 s
34.03125 f
34.53125 d
35.072916666666664 f
35.604166666666664 d
36.125 f
36.645833333333336 d
37.166666666666664 f
37.65625 d
38.177083333333336 f
38.666666666666664 d
39.197916666666664 f
39.677083333333336 d
40.1875 hf
40.229166666666664 p
40.5 j
40.71875 s
40.760416666666664 h
41.0 z
41.25 k
41.385416666666664 f
41.479166666666664 l
41.729166666666664 k
41.760416666666664 s
42.041666666666664 h
42.302083333333336 f
42.510416666666664 j
42.760416666666664 s
42.770833333333336 h
43.041666666666664 z
43.270833333333336 h
43.28125 f
43.583333333333336 j
43.770833333333336 s
43.8125 h
44.041666666666664 z
44.28125 k
44.364583333333336 f
44.520833333333336 l
44.729166666666664 s
44.75 k
45.020833333333336 h
45.28125 f
45.541666666666664 j
45.71875 s
45.822916666666664 h
46.052083333333336 z
46.260416666666664 f
46.28125 h
46.322916666666664 a
46.5625 j
46.760416666666664 h
46.822916666666664 d
47.020833333333336 z
47.260416666666664 k
47.416666666666664 f
47.489583333333336 l
47.739583333333336 k
47.875 d
48.0625 h
48.34375 f
48.552083333333336 j
48.791666666666664 h
48.833333333333336 d
49.072916666666664 z
49.302083333333336 h
49.375 f
49.614583333333336 j
49.885416666666664 h
49.895833333333336 d
50.104166666666664 z
50.385416666666664 k
50.458333333333336 f
50.614583333333336 l
50.833333333333336 k
50.84375 d
51.15625 h
51.375 f
51.645833333333336 j
51.833333333333336 d
51.927083333333336 h
52.177083333333336 z
52.416666666666664 f
52.458333333333336 ih
52.729166666666664 j
52.947916666666664 h
52.958333333333336 s
53.208333333333336 z
53.427083333333336 k
53.541666666666664 f
53.677083333333336 l
53.90625 k
53.958333333333336 s
54.208333333333336 h
54.479166666666664 f
54.6875 j
54.96875 h
54.979166666666664 s
55.25 z
55.489583333333336 h
55.520833333333336 f
55.791666666666664 j
56.052083333333336 sh
56.260416666666664 z
56.510416666666664 k
56.552083333333336 f
56.75 l
56.947916666666664 s
56.989583333333336 k
57.239583333333336 h
57.489583333333336 f
57.71875 j
57.989583333333336 h
58.010416666666664 s
58.239583333333336 z
58.46875 h
58.510416666666664 f
58.760416666666664 j
59.010416666666664 h
59.052083333333336 d
59.21875 z
59.354166666666664 d
59.46875 k
59.5625 f
59.71875 l
59.979166666666664 k
60.03125 d
60.270833333333336 h
60.53125 f
60.71875 j
60.989583333333336 h
61.010416666666664 d
61.239583333333336 z
61.489583333333336 h
61.552083333333336 f
61.802083333333336 j
62.052083333333336 d
62.072916666666664 h
62.260416666666664 z
62.354166666666664 d
62.53125 k
62.572916666666664 f
62.791666666666664 l
63.03125 k
63.052083333333336 d
63.291666666666664 h
63.53125 f
63.78125 j
64.03125 hd
64.30208333333333 z
64.52083333333333 ohd
64.82291666666667 j
65.04166666666667 h
65.27083333333333 z
65.5625 k
65.8125 l
66.03125 k
66.26041666666667 h
66.78125 j
67.04166666666667 h
67.28125 z
67.52083333333333 h
67.77083333333333 j
68.05208333333333 h
68.22916666666667 z
68.51041666666667 k
68.76041666666667 l
68.95833333333333 k
69.23958333333333 h
70.97916666666667 q
71.15625 t
71.29166666666667 x
71.35416666666667 p
71.47916666666667 z
71.70833333333333 l
71.90625 h
72.10416666666667 l
72.20833333333333 z
72.42708333333333 x
72.60416666666667 z
72.67708333333333 l
72.9375 h
73.11458333333333 l
73.22916666666667 z
73.4375 x
73.57291666666667 z
73.71875 l
73.91666666666667 h
74.125 li
74.17708333333333 z
74.22916666666667 p
74.41666666666667 s
74.4375 xf
74.53125 z
74.71875 l
74.96875 h
75.15625 l
75.375 z
75.53125 x
75.66666666666667 z
75.86458333333333 l
76.07291666666667 h
76.30208333333333 l
76.4375 z
76.61458333333333 x
76.75 z
76.86458333333333 l
77.13541666666667 qh
77.36458333333333 y
77.45833333333333 z
77.57291666666667 a
77.69791666666667 l
77.875 k
78.11458333333333 h
78.3125 k
78.40625 l
78.63541666666667 z
78.83333333333333 l
78.88541666666667 k
79.15625 h
79.34375 k
79.45833333333333 l
79.67708333333333 z
79.88541666666667 l
79.98958333333333 k
80.17708333333333 h
80.26041666666667 o
80.36458333333333 k
80.44791666666667 la
80.63541666666667 d
80.66666666666667 z
80.83333333333333 l
81.0 k
81.27083333333333 h
81.5 k
81.60416666666667 l
81.82291666666667 z
82.04166666666667 l
82.09375 k
82.33333333333333 h
82.52083333333333 k
82.65625 l
82.83333333333333 z
83.03125 l
83.125 k
83.30208333333333 h
83.47916666666667 k
83.48958333333333 8
83.57291666666667 l
83.69791666666667 w
83.84375 u
83.86458333333333 c
84.10416666666667 z
84.32291666666667 l
84.42708333333333 h
84.59375 l
84.70833333333333 z
84.92708333333333 c
85.10416666666667 z
85.25 l
85.42708333333333 h
85.63541666666667 l
85.6875 z
85.9375 c
86.14583333333333 z
86.26041666666667 l
86.35416666666667 h
86.53125 t
86.54166666666667 l
86.67708333333333 z
86.79166666666667 o
86.90625 x
86.96875 f
87.09375 z
87.19791666666667 l
87.5 h
87.72916666666667 l
87.875 z
88.07291666666667 x
88.27083333333333 z
88.34375 l
88.61458333333333 h
88.8125 l
88.94791666666667 z
89.125 x
89.26041666666667 z
89.375 l
89.55208333333333 h
89.71875 4
89.75 l
89.86458333333333 z
89.9375 8
90.09375 e
90.11458333333333 v
90.41666666666667 z
90.58333333333333 l
90.63541666666667 h
90.84375 l
90.9375 z
91.14583333333333 v
91.35416666666667 z
91.42708333333333 l
91.61458333333333 h
91.82291666666667 l
91.91666666666667 z
92.125 v
92.34375 z
92.44791666666667 l
92.57291666666667 h
92.76041666666667 q
92.79166666666667 l
92.83333333333333 z
92.98958333333333 t
93.125 c
93.14583333333333 p
93.30208333333333 z
93.4375 l
93.66666666666667 h
93.90625 z
93.97916666666667 l
94.21875 c
94.40625 z
94.51041666666667 l
