tempo= 112
4130.5875 E
4130.6 E
4130.65625 y
4130.722916666667 y
4130.845833333334 i
4130.872916666666 i
4130.95625 P
4130.975 d
4131.4125 i
4131.477083333333 P
4131.922916666666 s
4131.952083333334 s
4132.422916666666 d
4132.452083333334 d
4132.922916666666 i
4132.952083333334 i
4133.422916666666 P
4133.452083333334 P
4133.922916666666 i
4134.45 E
4134.560416666666 y
4134.570833333333 E
4134.695833333333 y
4134.770833333333 i
4134.8125 i
4134.952083333334 d
4134.964583333333 d
4135.422916666666 s
4135.452083333334 s
4135.85 i
4135.922916666666 i
4136.422916666666 P
4136.452083333334 P
4136.922916666666 i
4137.422916666666 o(
4137.452083333334 o
4137.922916666666 E
4137.952083333334 (
4138.422916666666 d
4138.452083333334 wdYE
4138.922916666666 E
4138.952083333334 (
4139.422916666666 s
4139.452083333334 wsYE
4139.922916666666 E
4139.952083333334 (
4140.422916666666 P
4140.452083333334 wYPE
4140.922916666666 E
4140.952083333334 (
4141.452083333334 wYE
4141.58125 q
4141.722916666667 e
4141.952083333334 tsqpY
4141.995833333333 Y
4142.0875 p
4145.922916666666 yq^E
4146.010416666667 ^E
4146.922916666666 d
4146.952083333334 d
4147.422916666666 s
4147.452083333334 s
4147.85625 i
4147.885416666667 i
4148.422916666666 d
4148.452083333334 d
4148.927083333333 i
4148.95625 i
4149.422916666666 P
4149.452083333334 P
4149.895833333333 i
4149.925 i
4150.520833333333 E
4150.55 E
4150.6125 y
4150.641666666666 y
4150.8125 i
4150.841666666666 i
4150.922916666666 d
4150.952083333334 d
4151.422916666666 iP
4151.452083333334 P
4151.472916666667 i
4151.922916666666 s
4151.952083333334 s
4152.422916666666 d
4152.452083333334 d
4152.929166666667 i
4152.958333333333 i
4153.922916666666 oYE@(
4154.422916666666 E
4154.660416666667 (
4154.689583333334 (
4154.760416666667 E
4154.777083333333 Y
4154.789583333333 E
4154.847916666667 Y
4154.922916666666 odYE
4155.008333333333 d
4155.079166666666 d
4155.422916666666 soYE
4155.497916666666 s
4155.527083333333 s
4155.922916666666 (
4156.054166666667 Y
4156.083333333333 Y
4156.422916666666 dE
4156.460416666667 d
4156.489583333333 d
4156.922916666666 oYE
4156.941666666667 Y
4156.970833333334 Y
4157.422916666666 P(
4157.452083333334 P
4157.922916666666 uoE830
4158.422916666666 wt
4158.922916666666 wutoE3
4158.945833333333 P
4159.383333333333 d
4159.422916666666 wuto
4159.872916666666 s
4159.922916666666 8
4160.41875 P
4160.422916666666 wutoE
4160.922916666666 wuE8
4161.422916666666 t3
