tempo= 78
0.0 wu
0.5 e
1.0 u
1.5 t
2.5 u
4.0 w
4.5 e
5.0 u
5.5 t
8.0 wu
8.5 e
9.0 u
9.5 t
10.5 u
12.0 w
12.5 e
13.0 u
13.5 t
16.0 wu
16.5 e
17.0 u
17.5 t
18.5 u
20.0 w
20.5 e
21.0 u
21.5 t
24.0 wu
24.5 e
25.0 u
25.5 t
26.5 u
28.0 w
28.5 e
29.0 u
29.5 t
32.0 wp6
32.5 e
33.0 u
33.5 t
34.5 us
35.0 a
36.0 wo3
36.5 pe
37.0 u
37.5 td
39.5 t
40.0 wp6
40.5 e
41.0 u
41.5 t
42.5 uf
43.0 d
44.0 wp6
44.5 fe
45.0 u
45.5 ts
47.5 t
48.0 s92
48.5 ed
49.0 uf
49.5 t
50.5 u
51.0 s
51.5 d
52.0 p92
52.5 e
53.0 u
53.5 t
55.0 u
56.0 h92
56.5 e
57.0 uf
57.5 ts
58.5 u
59.0 h
60.0 d92
60.5 pe
61.0 u
61.5 t
63.0 u
64.0 sp960
64.5 e
64.75 a
65.0 u
65.5 ut
66.0 p
66.5 s
66.75 p
67.0 ua
67.5 8
68.0 oa960
68.5 e
68.75 p
69.0 u
69.5 td
71.5 t8
72.0 sp960
72.5 e
72.75 f
73.0 u
73.5 tp
74.5 f
74.75 p
75.0 d
75.5 f0
76.0 ped60
76.5 f
77.5 sp
80.0 sp960
80.5 e
80.75 a
81.0 u
81.5 ut
82.0 p
82.5 s
82.75 p
83.0 ua
83.5 8
84.0 oa960
84.5 e
84.75 p
85.0 u
85.5 td
87.5 t
88.0 sp960
88.5 e
88.75 f
89.0 ua
89.5 tp
90.5 pf
90.75 a
91.0 d
91.5 f0
92.0 eda60
92.5 f
93.0 a
93.5 tsp
96.0 sl96
96.5 e
97.0 ua
97.5 to
98.5 fa
99.0 s
99.5 0
100.0 fe3
100.5 u
101.0 a
101.5 od
102.0 t
103.5 0
104.0 o5
104.5 p
105.0 f
105.5 s
106.5 f
107.0 zd
107.5 9
108.0 ro$
108.5 p
109.0 f
109.5 s
112.0 s9630
112.5 fe
113.0 uk
113.5 th
114.5 ua
115.0 ut
115.5 8
116.0 s9630
116.5 fe
117.0 yk
117.5 th
119.5 y8
120.0 wh85
120.5 je
121.0 xu
121.5 tl
122.5 x
123.0 zu
123.5 9
124.0 hQ96
124.5 je
125.0 xu
125.5 tl
128.0 yx6
128.5 u
128.75 l
129.0 a
129.5 ok
130.25 h
130.5 a
131.0 f
131.5 a81
132.0 yx5
132.5 u
132.75 l
133.0 a
133.5 ok
136.0 xoQ9$
136.5 p
136.75 z
137.0 f
137.5 spj
138.25 G
139.0 d
139.5 a9
140.0 xwo85
140.5 p
140.75 z
141.0 f
141.5 spj
142.5 p
143.0 s
143.5 p
144.0 xo6
144.5 p
144.75 l
145.0 f
145.5 spk
146.25 h
147.0 f
147.5 8
148.0 wof6
148.5 e
148.75 sp
149.0 u
149.5 tda
151.5 0
152.0 xwoQ9
152.5 pe
152.75 z
153.0 uf
153.5 tspj
154.25 G
154.5 u
155.0 d
155.5 0
156.0 xwo81
156.5 pe
156.75 z
157.0 uf
157.5 tspj
158.5 u
160.0 wp5
160.5 e
161.0 u
161.5 t
162.5 uf
163.0 d
164.0 wp4
164.5 e
165.0 u
165.5 t
166.5 u
167.5 o
168.0 wp5
168.5 e
169.0 u
169.5 t
170.5 uf
171.0 d
172.0 wp51
172.5 e
173.0 u
173.5 t
174.5 u
