tempo= 85
0.0 si^
2.0 to6
4.0 iE5
4.75 iE8
5.5 qie
6.5 wu8
7.0 ie9
7.5 tp6
8.0 si^
10.0 to6
12.0 iE5
12.75 iE8
13.5 qie
14.5 wu
15.0 ie
15.5 tp6
16.0 si^
18.0 to6
20.0 iE5
20.75 iE8
21.5 qie
22.5 wu8
23.0 ie9
23.5 tp6
24.0 si^
26.0 to6
28.0 iE5
28.75 iE8
29.5 qie
30.5 wu
31.0 ie
31.5 tp6
32.0 si^
34.0 to6
36.0 iE5
36.75 iE8
37.5 qie
38.5 wu8
39.0 ie9
39.5 tp6
40.0 si^
42.0 to6
44.0 iE5
44.75 iE8
45.5 qie
46.5 wu
47.0 ie
47.5 tp6
48.0 si^
49.0 $
50.0 to6
51.0 $
52.0 iE5
52.75 iE81
53.0 $
53.5 qie4
54.5 wu81
55.0 ie92$
55.5 tp6
56.0 si^
57.0 $
58.0 to6
59.0 $
60.0 iE5
60.75 iE81
61.0 $
61.5 qie4
62.5 wu
63.0 ie$
63.5 tp6
64.0 si^
65.0 $
66.0 to6
67.0 $
68.0 iE5
68.75 iE81
69.0 $
69.5 qie4
70.5 wu81
71.0 ie92$
71.5 tp6
72.0 si^
73.0 $
74.0 to6
75.0 $
76.0 iE5
76.75 iE81
77.0 $
77.5 qie4
78.5 wu
79.0 ie$
79.01041666666667 8
79.27083333333333 6
79.5 tp6
79.55208333333333 4
80.0 oe^PD$
80.0625 7
80.55208333333333 7
80.79166666666667 7
81.0 ^$!
81.5 id^P7
82.0 $
82.04166666666667 7
82.5 ^
82.5625 7
82.8125 7
83.0 i^P$!
83.25 id
83.51041666666667 7
84.0 idP4$
84.0625 7
84.55208333333333 7
84.79166666666667 7
85.0 4$!
85.5 spi74
86.0 $
86.04166666666667 7
86.5 up
86.5625 7
86.8125 7
87.0 up$!
87.25 usp
87.51041666666667 7
88.0 oe^PD$
88.02083333333333 7
88.5625 7
88.78125 7
89.0 o$!
89.5 id^P
89.52083333333333 7
90.0 ^$
90.02083333333333 7
90.5 i
90.52083333333333 7
90.77083333333333 7
91.0 P$!
91.46875 7
91.5 d^
92.0 pid81$
92.02083333333333 7
92.5625 7
92.78125 7
93.0 i$!
93.5 uso81
93.52083333333333 7
94.0 $
94.02083333333333 7
94.5 uo
94.52083333333333 7
94.77083333333333 7
95.0 uso81$!
95.07291666666667 9
95.46875 7
96.0 oe^PD$
96.02083333333333 7
96.05208333333333 Q
96.07291666666667 P
96.51041666666667 P
96.5625 7
96.78125 P7
97.0 ^P$!
97.05208333333333 Q
97.5 id^P
97.52083333333333 7
97.53125 P
97.76041666666667 P
98.0 QP$
98.02083333333333 7
98.5 ^
98.51041666666667 P
98.52083333333333 7
98.76041666666667 P
98.77083333333333 7
99.0 ^Q$!
99.03125 P
99.46875 7
99.5 iP
99.52083333333333 P
99.77083333333333 P
100.0 odP4$
100.02083333333333 7
100.04166666666667 P
100.05208333333333 Q
100.5 4
100.53125 P
100.5625 7
100.78125 7
100.79166666666667 P
101.0 4$!
101.02083333333333 P
101.05208333333333 Q
101.5 spi4
101.52083333333333 7
101.55208333333333 P
101.77083333333333 P
102.0 Q$
102.02083333333333 7
102.05208333333333 P
102.5 1
102.52083333333333 7
102.53125 P
102.77083333333333 7
103.0 piQ4$!
103.0625 P
103.29166666666667 P
103.46875 7
103.52083333333333 P
104.0 qoeP@
104.5 E
105.0 Y
105.5 oE
106.5 Y
107.0 oiYP
107.5 Y5
107.51041666666667 j
107.71875 j
108.0 ysiP81
109.0 t
110.0 y
111.0 i
112.0 si^
114.0 to6
116.0 iE5
116.75 iE8
117.5 qie
118.5 wu8
119.0 ie9
119.5 tp6
120.0 si^
122.0 to6
124.0 iE5
124.75 iE8
125.5 qie
126.5 wu7
127.0 ie2$
127.5 tp76$
127.75 7
128.0 ysie^1$
128.5 $
129.0 2$
129.5 1$
130.0 wuto61$
130.5 $
131.0 2$
131.5 $
132.0 yqiE51$
132.5 $
132.75 iE81
133.0 2$
133.5 tqie41$
134.0 1$
134.5 wu81$
135.0 ie92$
135.5 tp76$
135.75 7
136.0 ysie^1$
136.5 $
137.0 2$
137.5 1$
138.0 wuto61$
138.5 $
139.0 2$
139.5 $
140.0 yqiE51$
140.5 $
140.75 wutiE81
141.0 2$
141.5 yqie41$
142.0 1$
142.5 wu$
143.0 ie2$
143.5 tp76$
143.75 7
144.0 ysie^1$
144.5 $
145.0 2$
145.5 1$
146.0 wuto61$
146.5 $
147.0 2$
147.5 $
148.0 yqiE51$
148.5 $
148.75 iE81
149.0 2$
149.5 tqie41$
150.0 1$
150.5 wu81$
151.0 ie92$
151.5 tp76$
151.75 7
152.0 ysie^1$
152.5 $
153.0 2$
153.5 1$
154.0 wuto61$
154.5 $
155.0 2$
155.5 $
156.0 yqiE51$
156.5 $
156.75 wutiE81
157.0 2$
157.5 yqie41$
158.0 1$
158.5 wu$
159.0 ie2$
159.5 tp76$
159.75 7
160.0 yspi^1$
160.5 $
161.0 Q2$
161.5 1$
162.0 uto61$
162.5 $
163.0 Q2$
163.5 $
164.0 yiE51$
164.5 $
164.75 iE81
165.0 Q2$
165.5 tqie41$
166.0 1$
166.5 wu81$
167.0 ieQ92$
167.5 tp76$
167.75 7
