tempo= 120
0.7578125 *
1.1536458333333333 !
1.5286458333333333 u
1.7395833333333333 u
2.09375 *
2.1041666666666665 u
2.7708333333333335 a
2.78125 W
3.4244791666666665 a
3.4375 f
4.03125 T
4.0859375 f
4.71875 f
4.736979166666667 *
6.044270833333333 f
6.731770833333333 a
7.231770833333333 7
7.3203125 u
7.341145833333333 7
8.0 aQ
8.044270833333334 u
8.427083333333334 a
8.541666666666666 f
8.666666666666666 a
9.072916666666666 r
9.294270833333334 f
9.549479166666666 f
9.791666666666666 u
11.528645833333334 D
11.6875 f
12.0 a
12.072916666666666 6
12.083333333333334 a
12.104166666666666 6
12.21875 f
12.2734375 u
12.291666666666666 6
12.864583333333334 a
12.877604166666666 0
13.481770833333334 u
13.486979166666666 f
14.111979166666666 e
14.697916666666666 f
14.731770833333334 f
16.0 a
16.674479166666668 a
17.065104166666668 7
17.072916666666668 7
17.111979166666668 u
17.260416666666668 u
17.28125 7
17.7578125 a
17.864583333333332 Q
18.419270833333332 f
18.486979166666668 a
19.0703125 r
19.377604166666668 f
19.416666666666668 x
19.653645833333332 f
19.674479166666668 x
19.677083333333332 f
20.3125 r
20.572916666666668 Z
20.591145833333332 D
20.875 D
20.877604166666668 Z
21.416666666666668 f
21.8828125 u
21.895833333333332 !
21.919270833333332 a
21.9453125 *
22.002604166666668 D
22.104166666666668 u
22.127604166666668 *
22.690104166666668 W
22.731770833333332 a
23.208333333333332 f
23.364583333333332 f
24.0 T
24.479166666666668 *
24.625 f
25.114583333333332 f
25.252604166666668 T
25.674479166666668 u
25.731770833333332 k
25.8359375 f
26.395833333333332 x
26.466145833333332 a
26.916666666666668 f
26.924479166666668 7
26.927083333333332 a
26.9375 7
27.03125 x
27.052083333333332 7
27.065104166666668 u
27.666666666666668 Q
28.0 a
28.315104166666668 f
28.864583333333332 r
29.427083333333332 G
29.5 Z
29.502604166666668 a
30.1328125 G
30.697916666666668 r
31.260416666666668 u
32.0 xufa6
32.466145833333336 0
32.5078125 a
32.510416666666664 k
33.091145833333336 f
33.135416666666664 u
33.15625 f
33.65625 u
33.71875 e
34.294270833333336 6
34.354166666666664 a
34.3984375 f
35.572916666666664 u
35.606770833333336 a
36.1953125 u
36.84375 u
36.885416666666664 7
36.895833333333336 u7
36.903645833333336 7
37.440104166666664 a
37.5078125 Q
37.53125 a
38.106770833333336 f
38.236979166666664 u
38.25 f
38.9375 r
39.65625 7
39.690104166666664 7
40.0 f
41.7578125 D
42.190104166666664 Y
44.2578125 7
44.341145833333336 7
49.856770833333336 f
49.895833333333336 u
49.940104166666664 3
50.489583333333336 7
51.169270833333336 0
51.708333333333336 u
52.40625 u
52.614583333333336 r
54.299479166666664 u
54.940104166666664 Q
55.020833333333336 Y
56.216145833333336 u
57.544270833333336 r
59.3984375 u
60.0 Y0
60.604166666666664 e
61.260416666666664 u
62.53125 T
64.4453125 I
65.09114583333333 O
65.09375 0
65.6875 r
66.27083333333333 Y
66.81510416666667 O
67.4453125 I
68.64583333333333 Y
69.27864583333333 u
69.48177083333333 Y
69.92708333333333 u0
70.5859375 r
72.0 u
72.54166666666667 u
73.79166666666667 r
74.35677083333333 u
74.96875 Y
74.97916666666667 Q
76.0 r
76.25 u
77.4453125 r
78.73697916666667 u
80.0 r6
80.46875 0
81.17708333333333 e
81.7578125 0
82.04166666666667 0
82.1484375 6
82.4453125 e
83.6328125 0
84.23697916666667 e
84.80208333333333 e
84.85416666666667 e
84.86458333333333 6
84.88541666666667 0
85.39583333333333 r
85.50260416666667 r
86.0078125 T
86.01041666666667 T
86.60416666666667 u
87.2578125 0
87.26041666666667 p
88.0 pa
88.25 a
88.46614583333333 S
88.61458333333333 S
89.1328125 f
89.17708333333333 f
89.73697916666667 3
89.7734375 a
89.77864583333333 3
89.80208333333333 f
89.8125 u
89.8359375 a
89.84114583333333 u
89.875 3
90.41666666666667 7
90.95833333333333 0
91.5234375 u
92.11197916666667 u
92.11458333333333 f
92.1328125 a
93.26041666666667 0
93.51041666666667 u
93.79166666666667 f
94.25 D
94.29166666666667 Y$
94.31510416666667 $
94.41927083333333 Q
94.44791666666667 Y
94.46875 D
95.0625 r
95.44010416666667 u
95.46875 f
95.64583333333333 u
95.65625 f
96.8359375 Y
97.875 f
97.88541666666667 u
97.9375 u
97.94791666666667 f
98.92447916666667 3
98.9609375 3
98.98177083333333 D
99.00260416666667 Y
99.11458333333333 Y
99.12760416666667 0
99.13541666666667 D
100.0 e
100.23958333333333 f
100.25 u
100.34375 u
100.35677083333333 f
101.53125 T
102.56510416666667 I
102.6953125 I
102.69791666666667 G
103.6875 3
103.7109375 3
103.71614583333333 O
104.0 OH0
104.5234375 r
105.11197916666667 Y
105.625 H
105.64583333333333 O
106.14583333333333 I
106.21614583333333 G
106.23177083333333 I
108.00260416666667 u
108.5859375 3
108.60677083333333 u
108.625 f
108.62760416666667 u
108.66927083333333 a
109.2109375 7
109.77083333333333 0
110.37760416666667 u
110.96875 f
110.97916666666667 u
111.00260416666667 a
112.1953125 f
112.21875 u
112.25 a
112.77083333333333 0
113.25 $
113.27864583333333 $
113.29166666666667 Y
113.375 Y
113.37760416666667 D
113.41927083333333 $
113.98177083333333 7
114.36458333333333 u
114.60677083333333 u
114.61197916666667 f
116.0 7
116.85416666666667 uf
117.05208333333333 u
117.88541666666667 r6
117.91666666666667 6
118.11197916666667 a
118.1328125 r6
118.71614583333333 0
119.23958333333333 r
120.0 u
120.4609375 0
121.0703125 r
121.6328125 u
122.21875 a
122.54427083333333 %
122.56510416666667 S
122.57291666666667 T
122.60677083333333 %
122.83333333333333 %
122.85416666666667 %
122.85677083333333 S
122.875 T
124.5234375 %
125.02083333333333 Y
125.0234375 D
125.1484375 Y
125.15364583333333 D
126.2734375 u
126.8359375 a
127.33333333333333 f
127.3359375 *
127.34114583333333 !
127.34375 u
127.375 !
127.3984375 f
127.42708333333333 u
127.44791666666667 a
128.0 %
129.1328125 *
129.79166666666666 %
130.85416666666666 *
131.4375 %
132.0 IG
132.00260416666666 IG
132.04427083333334 7
132.52083333333334 7
132.5703125 7
132.59375 $
133.17447916666666 7
133.7578125 I
134.32291666666666 I
134.34114583333334 G
135.50260416666666 r
135.52083333333334 a
135.54166666666666 7
136.57291666666666 a
136.59375 k6
136.71875 a
136.72916666666666 k6
137.3125 3
138.06510416666666 7
138.5625 3
139.11458333333334 p
139.15364583333334 j
140.25 7
140.6875 O
140.8984375 H
141.33333333333334 I
141.35416666666666 Q
141.46875 G
141.48177083333334 I
141.51041666666666 7
142.0703125 $
142.09375 6
142.66927083333334 7
143.1953125 I
143.70833333333334 O
143.77083333333334 I
144.0 G
144.51041666666666 O
144.53125 H
144.86458333333334 7
145.19010416666666 p
145.19791666666666 p
145.21614583333334 j
145.75 O
146.04947916666666 O
146.0625 H
146.07291666666666 !
146.73177083333334 %
147.35416666666666 *
148.25 !
148.41666666666666 IG
148.60677083333334 I
149.53125 *
149.59375 u
150.0625 u
150.17708333333334 f
150.59375 Y
150.63541666666666 7
150.67447916666666 Y
150.69010416666666 D
150.6953125 7
151.26041666666666 $
152.0 uf
153.09375 7
154.04427083333334 Y
154.29947916666666 D
154.3125 Y
155.3984375 T
155.41666666666666 6
156.125 T
156.1328125 6
156.28125 S
156.8125 3
157.42708333333334 6
157.92708333333334 *
158.56510416666666 0
159.17447916666666 e
160.0 6
160.29166666666666 %
160.31510416666666 r
160.32291666666666 6
160.9453125 %
160.9609375 a
160.96614583333334 r
162.75260416666666 %
163.16927083333334 $
163.20833333333334 e
163.35416666666666 p
163.35677083333334 $
163.37760416666666 e
164.48697916666666 $
165.64583333333334 !
165.65625 f
165.67447916666666 S
165.71875 T
165.73958333333334 !
165.75 u
165.77083333333334 !
166.25260416666666 %
166.83333333333334 u
167.37760416666666 S
168.0 !
168.02083333333334 ufS
169.21614583333334 *
169.8125 G
170.25 7
170.2734375 I7
170.28125 Y
170.375 G
170.39583333333334 7
170.45833333333334 D
170.97916666666666 $
171.55208333333334 7
172.20833333333334 D
172.66666666666666 7
172.67708333333334 G
173.82291666666666 a
173.86197916666666 r
173.8828125 a
174.41927083333334 7
174.88541666666666 6
174.91927083333334 6
174.94791666666666 r
175.04947916666666 a
175.05208333333334 k
175.09375 6
175.65364583333334 3
176.25 6
176.83333333333334 3
177.17447916666666 p
177.42447916666666 pj
177.4375 6
178.40364583333334 O
178.59114583333334 O
178.60416666666666 3
178.60677083333334 H
179.13541666666666 G
179.15364583333334 I
179.73177083333334 I7
180.29166666666666 $
180.90625 7
181.0 7
181.04947916666666 7
181.42447916666666 I
181.91666666666666 O
182.0 IG
182.75260416666666 O
182.7578125 H
183.02864583333334 p
183.07291666666666 7
